ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787729335.629,440,14.6,70321,10.9895,1.52,4.6
1787729335.644,441,14.6,70268,10.9719,1.52,4.6
1787729335.658,442,14.6,70310,10.9832,1.52,4.6
1787729335.673,443,14.6,70348,10.9772,1.52,4.6
1787729335.688,444,14.6,70276,10.9841,1.52,4.6
1787729335.702,445,14.6,70377,10.9710,1.52,4.6
1787729335.717,446,14.6,70219,10.9632,1.52,4.6
1787729335.732,447,14.7,69427,10.9649,1.52,4.6
1787729335.747,448,14.6,70249,10.9808,1.52,4.6
1787729335.761,449,14.6,70307,10.9764,1.52,4.6
1787729335.776,450,14.6,70232,10.9976,1.52,4.6
1787729335.791,451,14.6,70246,10.9727,1.52,4.5
1787729335.805,452,14.6,70333,10.9981,1.52,4.6
1787729335.820,453,14.6,70270,10.9771,1.52,4.6
1787729335.835,454,14.6,70160,10.9926,1.52,4.6
1787729335.849,455,14.6,70349,10.9583,1.52,4.6
1787729335.864,456,14.6,70291,10.9814,1.52,4.6
1787729335.879,457,14.6,70263,10.9960,1.52,4.6
1787729335.893,458,14.6,70219,10.9880,1.52,4.6
1787729335.908,459,14.6,70295,10.9633,1.52,4.6
1787729335.923,460,14.6,70352,10.9605,1.52,4.6
1787729335.937,461,14.6,70346,10.9704,1.52,4.6
1787729335.952,462,14.6,70348,10.9437,1.52,4.6
1787729335.967,463,14.6,70350,10.9604,1.52,4.6
1787729335.982,464,14.6,70227,10.9864,1.52,4.6
1787729335.996,465,14.6,70291,10.9693,1.52,4.6
1787729336.011,466,14.6,70342,10.9801,1.52,4.6
1787729336.026,467,14.6,70337,10.9985,1.52,4.4
1787729336.040,468,14.5,70402,10.9447,1.52,4.6
1787729336.055,469,14.6,70279,11.0257,1.52,4.6
1787729336.070,470,14.6,70283,10.9987,1.52,4.6
1787729336.084,471,14.5,70407,10.9577,1.52,4.6
1787729336.099,472,14.6,70350,10.9611,1.52,4.6
1787729336.114,473,14.6,70273,10.9721,1.52,4.6
1787729336.128,474,14.6,70339,10.9452,1.52,4.6
1787729336.143,475,14.6,70293,10.9965,1.52,4.6
