ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724989.410,481,71.2,14384,11.9482,4.01
1787724989.695,482,68.8,14878,11.9470,4.01
1787724989.977,483,73.3,13978,11.9485,4.01
1787724990.239,484,41.2,24828,11.9557,4.01
1787724990.402,485,38.6,26508,11.9573,4.01
1787724990.565,486,46.5,22039,11.9540,4.01
1787724990.750,487,45.2,22653,11.9628,4.01
1787724990.953,488,66.2,15463,11.9889,4.01
1787724991.192,489,40.1,25526,11.9496,4.01
1787724991.361,490,47.2,21693,11.9341,4.01
1787724991.545,491,42.1,24310,11.9497,4.01
1787724991.713,492,41.4,24711,11.9540,4.01
1787724991.879,493,41.6,24601,11.9497,4.01
1787724992.070,494,63.4,16160,11.9424,4.01
1787724992.302,495,41.5,24701,11.9459,4.01
1787724992.468,496,41.5,24664,11.9439,4.01
1787724992.635,497,41.5,24694,11.9505,4.01
1787724992.835,498,72.9,14052,11.9504,4.01
1787724993.125,499,69.7,14693,11.9637,4.01
1787724993.408,500,70.9,14451,11.9483,4.01
1787724993.692,501,71.2,14386,11.9508,4.01
1787724993.979,502,71.2,14390,11.9377,4.01
1787724994.265,503,71.0,14414,11.9557,4.01
1787724994.550,504,71.3,14357,11.9528,4.01
1787724994.836,505,69.2,14792,11.9502,4.01
1787724995.106,506,60.2,17003,11.9514,4.01
1787724995.332,507,45.3,22608,11.9555,4.01
1787724995.508,508,39.3,26025,11.9420,4.01
1787724995.672,509,45.7,22421,11.9587,4.01
1787724995.883,510,71.3,14367,11.9461,4.01
1787724996.151,511,51.3,19959,11.9418,4.01
1787724996.346,512,41.5,24666,11.9497,4.01
1787724996.514,513,42.0,24355,11.9380,4.01
1787724996.682,514,41.7,24561,11.9422,4.01
1787724996.850,515,42.9,23871,11.9470,4.01
1787724997.055,516,74.7,13702,11.9515,4.01
1787724997.321,517,41.7,24545,11.9477,4.01
1787724997.520,518,72.8,14072,11.9427,4.01
1787724997.812,519,72.0,14223,11.9463,4.01
1787724998.102,520,72.2,14174,11.9490,4.01
1787724998.361,521,41.4,24712,11.9505,4.01
1787724998.560,522,72.7,14079,11.9488,4.01
1787724998.852,523,72.5,14117,11.9565,4.01
1787724999.144,524,72.7,14078,11.9465,4.01
1787724999.438,525,74.6,13735,11.9451,4.01
1787724999.703,526,41.4,24706,11.9437,4.01
1787724999.900,527,71.5,14312,11.9434,4.01
1787725000.188,528,71.8,14258,11.9330,4.01
1787725000.446,529,42.0,24387,11.9524,4.01
1787725000.614,530,42.0,24407,11.9331,4.01
1787725000.782,531,41.7,24542,11.9426,4.01
1787725000.951,532,42.7,24009,11.9379,4.01
1787725001.121,533,41.5,24651,11.9508,4.01
1787725001.288,534,41.6,24605,11.9388,4.01
1787725001.488,535,72.6,14113,11.9495,4.01
1787725001.779,536,72.6,14104,11.9423,4.01
1787725002.069,537,72.2,14181,11.9438,4.01
1787725002.356,538,69.5,14723,11.9402,4.01
1787725002.637,539,72.5,14130,11.9375,4.01
1787725002.929,540,72.5,14118,11.9491,4.01
1787725003.215,541,67.2,15234,11.9515,4.01
1787725003.454,542,36.9,27736,11.9527,4.01
1787725003.602,543,36.5,28066,11.9428,4.01
1787725003.749,544,37.1,27575,11.9538,4.01
1787725003.897,545,36.5,28054,11.9539,4.01
1787725004.044,546,37.1,27618,11.9518,4.01
1787725004.193,547,37.0,27683,11.9408,4.01
1787725004.341,548,37.2,27543,11.9527,4.01
1787725004.490,549,36.8,27859,11.9493,4.01
1787725004.637,550,37.0,27669,11.9512,4.01
1787725004.785,551,36.9,27728,11.9511,4.01
